seed,dimension,relation,control,relation_or_control,shell,panel,source_data_hash,source_value_pairwise_accuracy,source_rank_target_agreement,source_value_standardized_target_rmse,source_value_standardized_target_rmse_definition,source_query_transform,source_context_query_hash,source_test_query_hash,source_context_oob_count,source_context_oob_rate,source_test_oob_count,source_test_oob_rate,target_context_design_hash,target_test_design_hash,target_test_truth_hash,source_permutation_hash,theta,independent_theta,model_seed
11,2,identity,none,identity,0.35,test,77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,0.9815452755905512,0.8828740157480315,1.3387265875414665,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,96e2d1122ba8ac5554d788ad65de9946e550a73096fc6fab6952ed49b5ff082a,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,1343501679
11,2,identity,none,identity,0.7,test,77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,0.984867125984252,0.8813976377952756,3.566573123612871,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,065310cf2c5e65a89e3f044bb033c3049dfd5f89b9144ef6ea1212bc7888aec1,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,651802812
11,2,identity,none,identity,1.0,test,77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,0.9799458661417323,0.9627214566929134,1.0730183950624181,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,19ad2ce9361b568e7d28247e7742516574ba76f67a6157473541cfcd6bdc7cb8,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,19ad2ce9361b568e7d28247e7742516574ba76f67a6157473541cfcd6bdc7cb8,f4b1230702062b34f2cb3045efd4197b64bd3e6f82817236bc60314d886b3475,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,977760002
11,2,identity,identity_label_permutation,identity_label_permutation,0.35,test,19ff921f4e63cf441724a3f4ab1e053d3a4d9277bf4435a7378157ed18961526,0.515871062992126,0.46614680034657757,2.585662597943052,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,96e2d1122ba8ac5554d788ad65de9946e550a73096fc6fab6952ed49b5ff082a,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,2111304516
11,2,identity,identity_label_permutation,identity_label_permutation,0.7,test,19ff921f4e63cf441724a3f4ab1e053d3a4d9277bf4435a7378157ed18961526,0.38188976377952755,0.38225885826771655,4.466012858021701,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,065310cf2c5e65a89e3f044bb033c3049dfd5f89b9144ef6ea1212bc7888aec1,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,818308853
11,2,identity,identity_label_permutation,identity_label_permutation,1.0,test,19ff921f4e63cf441724a3f4ab1e053d3a4d9277bf4435a7378157ed18961526,0.5078740157480315,0.4859146112432703,1.8551471442289962,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,identity,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,19ad2ce9361b568e7d28247e7742516574ba76f67a6157473541cfcd6bdc7cb8,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,19ad2ce9361b568e7d28247e7742516574ba76f67a6157473541cfcd6bdc7cb8,f4b1230702062b34f2cb3045efd4197b64bd3e6f82817236bc60314d886b3475,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,1248725915
11,2,output_affine,none,output_affine,0.35,test,77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,0.9815452755905512,0.8828740157480315,1.3387265875414671,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,output_affine,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,10cf3eec1bac46304d8f668ed267a514adf5e41366953e73dfbf6ab234f1cd64,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,1457997233
11,2,output_affine,none,output_affine,0.7,test,77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,0.984867125984252,0.8813976377952756,3.5665731236128244,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,output_affine,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,565c12d7b0d9827858cc79f49175e28cd3a10c14fc8d245966b1ea6bb7aab1ae,c21d42a3f15c8647786a2dac98c4a9eeaac50ad33950698e6d9e144946e15f51,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,111036368
11,2,output_affine,none,output_affine,1.0,test,77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,0.9799458661417323,0.9627214566929134,1.073018395062418,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,output_affine,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,19ad2ce9361b568e7d28247e7742516574ba76f67a6157473541cfcd6bdc7cb8,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,19ad2ce9361b568e7d28247e7742516574ba76f67a6157473541cfcd6bdc7cb8,dbe2455fa9bb37f340ee68e79a51249b29298faead1f5b260865c09825ac1ed5,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,240870900
11,2,scale_0.7,none,scale_0.7,0.35,test,77162a3317b3cc419500a9a83f350de1fbb6e974953a87c77096d6e3cf0eb6c0,0.9942175196850394,0.8860728346456693,1.309425129915628,source raw-value GP prediction in source standard units versus independently robust-standardized target test truth,scale_0.7,6572ffb2010537764add50c55b90ecdff791c4a92fb4faef855b5ec1ff49abcc,23e19a9e8c5f1e4a792436e3d029b5480b4a5abffb8036947495b8c64f59f46d,0,0.0,0,0.0,5c31872fb5b63ca51804fd284f1b92baf550c90c3147d9a15343637ee8299b81,0af4734d604e41783fc922434b3859418663f183ae2b80093197a60102c0d3f7,d533103c82a78b39d68647e25cc72d19a7bd7746a235e11be3a1d3067d998c30,36bb56f326fde8806f1c04a647760ced5f404f2e5db1971fde55fcad8e306f35,2.1135216188962014,4.251662900874154,1155218627
